,name,playtime,number of platforms,platforms,number of stores,stores,genres,release date,rating,max rating,rating count,metacritic score,added,month
196,Superliminal,0,3,"['PC', 'PlayStation', 'Nintendo']",3,"['Steam', 'Nintendo Store', 'Epic Games']","['Indie', 'Puzzle']",2019-11-12,4.19,4,45,,"{'yet': 11, 'owned': 13, 'beaten': 48, 'toplay': 81, 'dropped': 5, 'playing': 3}",11
197,Griftlands,2,1,['PC'],2,"['Steam', 'Epic Games']","['Adventure', 'RPG']",2019-07-14,4.29,5,7,,"{'yet': 9, 'owned': 110, 'toplay': 36, 'dropped': 2, 'playing': 3}",7
198,DESOLATE,4,1,['PC'],1,['Steam'],"['Massively Multiplayer', 'Adventure', 'Action']",2019-01-17,2.95,4,18,,"{'yet': 4, 'owned': 126, 'beaten': 3, 'toplay': 11, 'dropped': 11, 'playing': 4}",1
199,Little Misfortune,3,5,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Linux']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG']","['Casual', 'Indie', 'Adventure']",2019-09-17,4.06,4,49,,"{'yet': 11, 'owned': 54, 'beaten': 53, 'toplay': 32, 'dropped': 3, 'playing': 2}",9
200,Zombotron,3,2,"['PC', 'Apple Macintosh']",2,"['Steam', 'GOG']","['Indie', 'Adventure', 'Action']",2019-04-21,3.56,4,9,,"{'yet': 10, 'owned': 126, 'beaten': 4, 'toplay': 10, 'dropped': 2, 'playing': 2}",4
201,Secret Neighbor Beta,1,1,['PC'],1,['Steam'],"['Indie', 'Adventure', 'Action']",2019-08-02,2.62,3,13,,"{'yet': 2, 'owned': 135, 'beaten': 2, 'toplay': 2, 'dropped': 9, 'playing': 2}",8
202,Dawn of Man,6,4,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Strategy', 'Indie', 'Simulation']",2019-02-28,3.45,4,31,74.0,"{'yet': 6, 'owned': 107, 'beaten': 15, 'toplay': 11, 'dropped': 8, 'playing': 4}",2
203,Cat Quest II,2,6,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Action', 'RPG']",2019-09-23,3.81,4,27,,"{'yet': 5, 'owned': 82, 'beaten': 20, 'toplay': 33, 'dropped': 8, 'playing': 1}",9
205,Pilgrims,2,4,"['PC', 'iOS', 'Apple Macintosh', 'Linux']",4,"['Steam', 'App Store', 'GOG', 'itch.io']","['Casual', 'Indie', 'Adventure']",2019-10-06,3.93,4,45,,"{'yet': 6, 'owned': 75, 'beaten': 45, 'toplay': 16, 'dropped': 4, 'playing': 2}",10
206,Vigor,0,1,['Xbox'],1,['Xbox Store'],"['Shooter', 'Action']",2019-08-19,2.75,3,15,,"{'yet': 1, 'owned': 135, 'toplay': 1, 'dropped': 8, 'playing': 1}",8
207,Degrees of Separation,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Casual', 'Indie', 'Adventure']",2019-02-14,3.2,3,10,,"{'yet': 11, 'owned': 112, 'beaten': 3, 'toplay': 14, 'dropped': 4, 'playing': 1}",2
208,Sniper Elite V2 Remastered,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Shooter', 'Action']",2019-05-13,3.92,4,25,,"{'yet': 17, 'owned': 75, 'beaten': 12, 'toplay': 32, 'dropped': 7, 'playing': 2}",5
209,Arise: A Simple Story,0,3,"['PC', 'PlayStation', 'Xbox']",3,"['PlayStation Store', 'Xbox Store', 'Epic Games']","['Platformer', 'Adventure']",2019-12-03,3.78,4,23,,"{'yet': 17, 'owned': 33, 'beaten': 16, 'toplay': 67, 'dropped': 6, 'playing': 4}",12
210,The Legend of Bum-bo,4,3,"['PC', 'iOS', 'Apple Macintosh']",1,['Steam'],"['Indie', 'Strategy', 'Adventure', 'RPG']",2019-11-12,3.5,4,24,,"{'yet': 5, 'owned': 101, 'beaten': 8, 'toplay': 12, 'dropped': 12, 'playing': 5}",11
211,American Fugitive,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Indie', 'Adventure', 'Action']",2019-05-21,3.05,3,22,66.0,"{'yet': 10, 'owned': 86, 'beaten': 10, 'toplay': 22, 'dropped': 10, 'playing': 4}",5
212,Chernobylite,1,1,['PC'],2,"['Steam', 'GOG']","['Adventure', 'Action', 'RPG', 'Simulation', 'Indie']",2019-10-15,3.33,3,9,,"{'yet': 13, 'owned': 63, 'beaten': 1, 'toplay': 57, 'dropped': 6, 'playing': 1}",10
213,Castlevania Anniversary Collection,1,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Racing', 'Adventure', 'Action', 'RPG', 'Simulation', 'Sports']",2019-05-16,4.4,5,15,,"{'yet': 6, 'owned': 104, 'beaten': 6, 'toplay': 16, 'dropped': 2, 'playing': 7}",5
214,Reventure,2,3,"['PC', 'iOS', 'Nintendo']",4,"['Steam', 'App Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Puzzle']",2019-06-04,4.0,4,18,83.0,"{'yet': 3, 'owned': 116, 'beaten': 8, 'toplay': 4, 'dropped': 8, 'playing': 1}",6
215,Warhammer: Chaosbane,5,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Adventure', 'Action', 'RPG']",2019-05-31,3.04,3,25,,"{'yet': 7, 'owned': 93, 'beaten': 6, 'toplay': 20, 'dropped': 13, 'playing': 1}",5
216,Marvel Ultimate Alliance 3: The Black Order,0,1,['Nintendo'],1,['Nintendo Store'],"['Action', 'RPG']",2019-07-19,3.44,4,38,,"{'yet': 9, 'owned': 17, 'beaten': 28, 'toplay': 58, 'dropped': 14, 'playing': 14}",7
217,Riverbond,1,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Indie', 'Adventure', 'Action']",2019-06-09,3.0,3,23,,"{'yet': 2, 'owned': 115, 'beaten': 6, 'toplay': 6, 'dropped': 10}",6
218,Valfaris,1,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Action']",2019-10-10,3.61,4,23,81.0,"{'yet': 10, 'owned': 63, 'beaten': 11, 'toplay': 41, 'dropped': 8, 'playing': 6}",10
219,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Family', 'Platformer', 'Adventure', 'Action']",2019-05-07,3.5,4,15,69.0,"{'yet': 8, 'owned': 75, 'beaten': 5, 'toplay': 39, 'dropped': 4, 'playing': 8}",5
220,KIDS,1,5,"['PC', 'iOS', 'Android', 'Apple Macintosh', 'Linux']",4,"['Steam', 'App Store', 'Google Play', 'itch.io']","['Casual', 'Indie', 'Adventure', 'Puzzle']",2019-05-28,3.65,4,26,,"{'yet': 9, 'owned': 65, 'beaten': 27, 'toplay': 34, 'dropped': 3}",5
221,Steel Circus,1,1,['PC'],1,['Steam'],"['Massively Multiplayer', 'Action', 'Sports']",2019-08-08,2.45,3,10,,"{'yet': 3, 'owned': 122, 'toplay': 2, 'dropped': 10, 'playing': 1}",8
222,Neon Beats,1,1,['PC'],2,"['Steam', 'itch.io']","['Platformer', 'Indie']",2019-02-04,4.0,4,6,,"{'yet': 2, 'owned': 123, 'beaten': 7, 'dropped': 3}",2
223,Mutazione,8,4,"['PC', 'PlayStation', 'iOS', 'Apple Macintosh']",5,"['Steam', 'PlayStation Store', 'App Store', 'GOG', 'Epic Games']","['Indie', 'Adventure']",2019-09-19,4.35,4,19,,"{'yet': 44, 'owned': 37, 'beaten': 20, 'toplay': 25, 'dropped': 4, 'playing': 4}",9
224,Devolver Bootleg,1,1,['PC'],1,['Steam'],"['Adventure', 'Action', 'Casual', 'Sports', 'Indie']",2019-06-09,3.58,4,23,,"{'yet': 7, 'owned': 93, 'beaten': 8, 'toplay': 11, 'dropped': 14, 'playing': 1}",6
225,Heaven's Vault,3,3,"['PC', 'PlayStation', 'Apple Macintosh']",3,"['Steam', 'PlayStation Store', 'GOG']","['Indie', 'Adventure']",2019-04-15,3.33,4,12,,"{'yet': 8, 'owned': 71, 'beaten': 8, 'toplay': 39, 'dropped': 4, 'playing': 4}",4
226,Unruly Heroes,1,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Adventure', 'Action', 'Fighting', 'Indie', 'Platformer']",2019-01-23,3.65,4,25,77.0,"{'yet': 10, 'owned': 56, 'beaten': 8, 'toplay': 46, 'dropped': 11, 'playing': 2}",1
227,Rebel Cops,5,6,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store']","['Strategy', 'RPG']",2019-09-17,3.67,4,15,,"{'yet': 9, 'owned': 65, 'beaten': 4, 'toplay': 41, 'dropped': 6, 'playing': 7}",9
228,Dark Devotion,2,3,"['PC', 'PlayStation', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Action', 'RPG']",2019-04-25,3.36,3,21,70.0,"{'yet': 13, 'owned': 64, 'beaten': 10, 'toplay': 34, 'dropped': 9, 'playing': 2}",4
229,Swag and Sorcery,6,2,"['PC', 'iOS']",3,"['Steam', 'App Store', 'GOG']","['Strategy', 'Indie', 'Action', 'Simulation']",2019-05-08,3.74,4,27,,"{'yet': 2, 'owned': 94, 'beaten': 10, 'toplay': 14, 'dropped': 11}",5
230,RIOT - Civil Unrest,1,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Strategy', 'Indie', 'Action', 'Simulation']",2019-02-05,2.65,3,20,,"{'yet': 4, 'owned': 95, 'beaten': 2, 'toplay': 17, 'dropped': 12, 'playing': 1}",2
231,Contra Anniversary Collection,1,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'Nintendo Store']","['Shooter', 'Action']",2019-06-11,4.28,4,18,,"{'yet': 2, 'owned': 92, 'beaten': 10, 'toplay': 18, 'dropped': 8, 'playing': 1}",6
232,Hell Let Loose,2,1,['PC'],1,['Steam'],"['Strategy', 'Indie', 'Action', 'Simulation']",2019-06-06,3.54,4,13,,"{'yet': 4, 'owned': 107, 'beaten': 1, 'toplay': 8, 'dropped': 7, 'playing': 2}",6
233,ZACH-LIKE,1,1,['PC'],2,"['Steam', 'itch.io']","['Indie', 'Puzzle']",2019-06-17,4.38,5,8,,"{'yet': 7, 'owned': 113, 'beaten': 4, 'toplay': 3, 'dropped': 1, 'playing': 1}",6
234,Ring Fit Adventure,0,1,['Nintendo'],1,['Nintendo Store'],"['Adventure', 'Simulation', 'Sports']",2019-10-18,4.32,5,37,83.0,"{'yet': 4, 'owned': 18, 'beaten': 3, 'toplay': 40, 'dropped': 5, 'playing': 58}",10
235,WHAT THE GOLF?,0,5,"['PC', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",3,"['Steam', 'App Store', 'Epic Games']","['Casual', 'Indie', 'Sports']",2019-09-19,4.18,4,55,82.0,"{'yet': 7, 'owned': 8, 'beaten': 38, 'toplay': 45, 'dropped': 21, 'playing': 9}",9
236,The Hong Kong Massacre,2,2,"['PC', 'PlayStation']",2,"['Steam', 'PlayStation Store']","['Shooter', 'Indie', 'Action']",2019-01-22,3.54,4,24,70.0,"{'yet': 9, 'owned': 73, 'beaten': 9, 'toplay': 27, 'dropped': 6, 'playing': 3}",1
237,Lust from Beyond: Prologue,1,1,['PC'],1,['Steam'],['Adventure'],2019-10-31,3.14,4,7,,"{'yet': 6, 'owned': 109, 'beaten': 6, 'toplay': 5, 'dropped': 1}",10
238,Devotion,4,1,['PC'],1,['Steam'],"['Indie', 'Adventure']",2019-02-18,3.97,4,34,,"{'yet': 14, 'owned': 58, 'beaten': 31, 'toplay': 18, 'dropped': 4, 'playing': 1}",2
239,Assemble with Care,2,3,"['PC', 'iOS', 'Apple Macintosh']",2,"['Steam', 'App Store']","['Casual', 'Indie']",2019-09-19,4.31,4,34,,"{'yet': 3, 'owned': 62, 'beaten': 37, 'toplay': 20, 'dropped': 4}",9
240,Inmost,0,4,"['PC', 'iOS', 'Apple Macintosh', 'Nintendo']",4,"['Steam', 'App Store', 'GOG', 'Nintendo Store']","['Indie', 'Platformer', 'Adventure']",2019-12-31,4.18,5,11,,"{'yet': 17, 'owned': 10, 'beaten': 8, 'toplay': 83, 'dropped': 5, 'playing': 2}",12
241,WWE 2K20,2,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Simulation', 'Sports']",2019-10-22,2.04,1,22,,"{'yet': 2, 'owned': 105, 'beaten': 1, 'toplay': 5, 'dropped': 8, 'playing': 4}",10
242,Druidstone: The Secret of the Menhir Forest,3,1,['PC'],2,"['Steam', 'GOG']","['Indie', 'Strategy', 'Adventure', 'RPG']",2019-05-14,3.7,3,10,,"{'yet': 8, 'owned': 88, 'beaten': 7, 'toplay': 15, 'dropped': 4, 'playing': 1}",5
243,Satisfactory,0,1,['PC'],1,['Epic Games'],"['Indie', 'Strategy', 'Adventure', 'Action']",2019-03-19,4.42,5,38,,"{'yet': 6, 'owned': 21, 'beaten': 5, 'toplay': 54, 'dropped': 15, 'playing': 22}",3
244,Overland,2,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'itch.io']","['Strategy', 'Indie']",2019-09-18,3.24,3,20,,"{'yet': 9, 'owned': 33, 'beaten': 6, 'toplay': 54, 'dropped': 19, 'playing': 2}",9
245,Operencia: The Stolen Sun,3,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",6,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store', 'Epic Games']",['RPG'],2019-03-29,3.64,4,24,,"{'yet': 11, 'owned': 76, 'beaten': 4, 'toplay': 22, 'dropped': 9, 'playing': 1}",3
246,Police Stories,2,4,"['PC', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'GOG', 'Nintendo Store', 'itch.io']","['Strategy', 'Indie', 'Action', 'Simulation']",2019-09-18,3.17,4,18,75.0,"{'yet': 4, 'owned': 85, 'beaten': 9, 'toplay': 14, 'dropped': 7, 'playing': 3}",9
247,Cooking Simulator,4,1,['PC'],2,"['Steam', 'GOG']",['Simulation'],2019-06-05,3.93,4,14,,"{'yet': 3, 'owned': 98, 'beaten': 4, 'toplay': 7, 'dropped': 8, 'playing': 1}",6
248,She Sees Red,1,1,['PC'],1,['Steam'],"['Indie', 'Adventure']",2019-07-11,3.0,3,17,,"{'yet': 2, 'owned': 93, 'beaten': 15, 'toplay': 9, 'playing': 1}",7
249,7th Sector,2,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Indie', 'Adventure']",2019-03-05,3.92,4,13,74.0,"{'yet': 8, 'owned': 88, 'beaten': 6, 'toplay': 8, 'dropped': 8, 'playing': 1}",3
250,We Were Here Together,6,4,"['PC', 'Xbox', 'Apple Macintosh', 'Linux']",2,"['Steam', 'Xbox Store']","['Casual', 'Indie', 'Adventure']",2019-10-10,4.0,4,16,,"{'yet': 5, 'owned': 90, 'beaten': 12, 'toplay': 8, 'dropped': 3, 'playing': 1}",10
251,MediEvil (2019),0,1,['PlayStation'],None,None,['Action'],2019-10-25,4.19,4,21,,"{'yet': 13, 'owned': 6, 'beaten': 9, 'toplay': 77, 'dropped': 6, 'playing': 8}",10
252,Not For Broadcast,2,1,['PC'],2,"['Steam', 'GOG']","['Indie', 'Adventure', 'Simulation']",2019-11-26,4.38,4,8,,"{'yet': 7, 'owned': 86, 'beaten': 5, 'toplay': 16, 'dropped': 2, 'playing': 2}",11
253,Stranger Things 3: The Game,3,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Android', 'Apple Macintosh', 'Nintendo']",7,"['Steam', 'PlayStation Store', 'Xbox Store', 'App Store', 'GOG', 'Nintendo Store', 'itch.io']","['Adventure', 'Action', 'RPG', 'Fighting', 'Puzzle']",2019-07-03,3.0,3,11,,"{'yet': 30, 'owned': 53, 'beaten': 4, 'toplay': 26, 'dropped': 4, 'playing': 1}",7
255,DARQ,2,1,['PC'],2,"['Steam', 'GOG']","['Indie', 'Adventure', 'Action']",2019-08-14,4.05,4,20,,"{'yet': 8, 'owned': 56, 'beaten': 15, 'toplay': 32, 'dropped': 6}",8
256,The Occupation,1,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Adventure', 'Action']",2019-03-04,3.33,3,18,67.0,"{'yet': 13, 'owned': 37, 'beaten': 8, 'toplay': 52, 'dropped': 6, 'playing': 1}",3
257,Sky: Children of the Light,0,3,"['iOS', 'Android', 'Nintendo']",3,"['App Store', 'Nintendo Store', 'Google Play']","['Family', 'Adventure', 'RPG', 'Puzzle']",2019-07-18,4.15,4,39,81.0,"{'yet': 11, 'owned': 18, 'beaten': 14, 'toplay': 47, 'dropped': 15, 'playing': 11}",7
258,New Frontier,1,1,['PC'],1,['Steam'],"['Indie', 'Massively Multiplayer', 'RPG']",2019-07-25,2.43,3,7,,"{'yet': 3, 'owned': 107, 'toplay': 4, 'dropped': 2}",7
259,Feudal Alloy,1,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Action', 'RPG']",2019-01-16,3.54,4,13,76.0,"{'yet': 8, 'owned': 62, 'beaten': 5, 'toplay': 31, 'dropped': 9}",1
260,The Beast Inside,4,1,['PC'],2,"['Steam', 'GOG']","['Indie', 'Adventure', 'Action']",2019-10-16,3.7,4,22,,"{'yet': 12, 'owned': 60, 'beaten': 15, 'toplay': 22, 'dropped': 4, 'playing': 1}",10
261,Foundation,4,1,['PC'],2,"['Steam', 'GOG']","['Strategy', 'Indie', 'Simulation']",2019-01-31,3.79,4,14,,"{'yet': 5, 'owned': 76, 'toplay': 26, 'dropped': 5, 'playing': 1}",1
263,Sniper Ghost Warrior Contracts,3,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Shooter', 'Action']",2019-11-21,3.29,4,21,,"{'yet': 10, 'owned': 56, 'beaten': 5, 'toplay': 31, 'dropped': 9, 'playing': 2}",11
264,PlanetSide Arena,1,1,['PC'],1,['Steam'],['Action'],2019-09-19,1.6,1,10,,"{'yet': 2, 'owned': 104, 'toplay': 1, 'dropped': 6}",9
265,WORLD OF WARSHIPS: LEGENDS,0,2,"['PlayStation', 'Xbox']",2,"['PlayStation Store', 'Xbox Store']",['Action'],2019-04-16,3.5,4,8,82.0,"{'yet': 3, 'owned': 100, 'beaten': 1, 'dropped': 3, 'playing': 4}",4
266,Daymare: 1998,3,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']","['Indie', 'Adventure', 'Action']",2019-09-16,2.11,1,16,61.0,"{'yet': 1, 'owned': 79, 'beaten': 5, 'toplay': 18, 'dropped': 8}",9
267,Russian Life Simulator,1,3,"['PC', 'Apple Macintosh', 'Linux']",1,['Steam'],['Simulation'],2019-05-17,3.0,5,6,,"{'yet': 2, 'owned': 100, 'beaten': 4, 'toplay': 4, 'dropped': 1}",5
268,Mosaic,3,7,"['PC', 'PlayStation', 'Xbox', 'iOS', 'Apple Macintosh', 'Linux', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'GOG']","['Casual', 'Indie', 'Adventure']",2019-11-01,3.75,4,20,67.0,"{'yet': 8, 'owned': 26, 'beaten': 16, 'toplay': 52, 'dropped': 5, 'playing': 3}",11
269,Knights And Bikes,2,5,"['PC', 'PlayStation', 'Apple Macintosh', 'Linux', 'Nintendo']",4,"['Steam', 'PlayStation Store', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Action']",2019-08-27,3.38,4,13,80.0,"{'yet': 15, 'owned': 49, 'beaten': 2, 'toplay': 40, 'dropped': 2, 'playing': 2}",8
270,Transport Fever 2,4,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']","['Strategy', 'Simulation']",2019-12-12,4.0,4,8,76.0,"{'yet': 4, 'owned': 86, 'beaten': 3, 'toplay': 12, 'dropped': 3, 'playing': 2}",12
271,Battlefleet Gothic: Armada 2,3,1,['PC'],1,['Steam'],['Strategy'],2019-01-24,3.75,4,16,77.0,"{'yet': 4, 'owned': 82, 'beaten': 1, 'toplay': 18, 'dropped': 3, 'playing': 2}",1
272,POSTAL 4: No Regerts,1,1,['PC'],2,"['Steam', 'GOG']","['Shooter', 'Adventure', 'Action']",2019-10-13,2.48,1,21,,"{'yet': 8, 'owned': 82, 'beaten': 1, 'toplay': 10, 'dropped': 6, 'playing': 2}",10
273,Phoenix Point,0,3,"['PC', 'Xbox', 'Apple Macintosh']",1,['Epic Games'],['Strategy'],2019-12-03,2.84,4,24,,"{'yet': 18, 'owned': 21, 'beaten': 3, 'toplay': 57, 'dropped': 8, 'playing': 2}",12
274,The Lord of the Rings Living Card Game,2,1,['PC'],1,['Steam'],"['Casual', 'Strategy', 'Adventure']",2019-11-05,2.67,4,6,75.0,"{'yet': 4, 'owned': 101, 'dropped': 2, 'playing': 1}",11
276,Oninaki,7,3,"['PC', 'PlayStation', 'Nintendo']",2,"['Steam', 'Nintendo Store']","['Action', 'RPG']",2019-08-22,2.83,3,12,70.0,"{'yet': 9, 'owned': 35, 'beaten': 4, 'toplay': 48, 'dropped': 8, 'playing': 3}",8
277,Atelier Ryza: Ever Darkness & the Secret Hideout,5,3,"['PC', 'PlayStation', 'Nintendo']",2,"['Steam', 'Nintendo Store']",['RPG'],2019-10-26,3.2,4,10,,"{'yet': 6, 'owned': 55, 'beaten': 6, 'toplay': 33, 'dropped': 5, 'playing': 2}",10
280,"Warhammer 40,000: Inquisitor - Prophecy",3,3,"['PC', 'PlayStation', 'Xbox']",1,['Steam'],"['Indie', 'Adventure', 'Action', 'RPG']",2019-07-30,3.5,4,6,,"{'yet': 4, 'owned': 79, 'beaten': 3, 'toplay': 17, 'dropped': 2}",7
281,LEFT ALIVE,3,2,"['PC', 'PlayStation']",2,"['Steam', 'PlayStation Store']","['Adventure', 'Action']",2019-03-05,2.27,1,15,38.0,"{'yet': 10, 'owned': 43, 'beaten': 1, 'toplay': 44, 'dropped': 4, 'playing': 3}",3
283,NASCAR Heat 4,2,3,"['PC', 'PlayStation', 'Xbox']",3,"['Steam', 'PlayStation Store', 'Xbox Store']",['Racing'],2019-09-13,3.12,4,8,,"{'yet': 1, 'owned': 98, 'beaten': 1, 'toplay': 1, 'dropped': 2}",9
284,The Mercury Man,2,1,['PC'],1,['Steam'],"['Indie', 'Strategy', 'Adventure', 'RPG']",2019-09-24,3.68,4,30,,"{'yet': 5, 'owned': 81, 'beaten': 10, 'toplay': 2, 'dropped': 4}",9
286,Lovers of Aether,1,2,"['PC', 'Apple Macintosh']",1,['Steam'],"['Casual', 'Indie', 'Simulation']",2019-04-01,3.09,4,11,,"{'yet': 8, 'owned': 82, 'beaten': 6, 'toplay': 3, 'dropped': 1}",4
287,Fade to Silence,1,3,"['PC', 'PlayStation', 'Xbox']",4,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG']",['RPG'],2019-04-30,3.29,3,17,56.0,"{'yet': 8, 'owned': 51, 'beaten': 2, 'toplay': 29, 'dropped': 8, 'playing': 2}",4
288,Sigma Theory,2,2,"['PC', 'Apple Macintosh']",1,['Steam'],"['Strategy', 'Indie', 'RPG']",2019-04-18,3.0,4,6,,"{'yet': 6, 'owned': 78, 'beaten': 1, 'toplay': 11, 'dropped': 3}",4
289,Snakeybus,1,5,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Nintendo']",3,"['Steam', 'PlayStation Store', 'Xbox Store']","['Casual', 'Indie', 'Action']",2019-05-10,3.73,3,11,,"{'yet': 4, 'owned': 78, 'beaten': 6, 'toplay': 4, 'dropped': 5, 'playing': 1}",5
290,FINAL FANTASY XIV: Shadowbringers,0,2,"['PC', 'PlayStation']",None,None,"['Massively Multiplayer', 'RPG']",2019-07-02,4.39,5,32,,"{'yet': 5, 'owned': 19, 'beaten': 14, 'toplay': 36, 'dropped': 3, 'playing': 20}",7
291,Gibbous - A Cthulhu Adventure,2,3,"['PC', 'Apple Macintosh', 'Linux']",2,"['Steam', 'GOG']",['Adventure'],2019-08-07,3.79,4,18,,"{'yet': 8, 'owned': 33, 'beaten': 17, 'toplay': 34, 'dropped': 2, 'playing': 2}",8
293,Eagle Island,1,4,"['PC', 'Apple Macintosh', 'Linux', 'Nintendo']",3,"['Steam', 'GOG', 'Nintendo Store']","['Indie', 'Adventure', 'Action']",2019-07-10,3.43,3,7,,"{'yet': 3, 'owned': 76, 'beaten': 1, 'toplay': 10, 'dropped': 4, 'playing': 1}",7
295,We. The Revolution,3,6,"['PC', 'PlayStation', 'Xbox', 'Apple Macintosh', 'Linux', 'Nintendo']",5,"['Steam', 'PlayStation Store', 'Xbox Store', 'GOG', 'Nintendo Store']","['Indie', 'Strategy', 'Adventure']",2019-03-20,3.0,4,16,,"{'yet': 9, 'owned': 43, 'beaten': 7, 'toplay': 24, 'dropped': 9, 'playing': 3}",3
297,Anodyne 2: Return to Dust,4,3,"['PC', 'Apple Macintosh', 'Linux']",3,"['Steam', 'GOG', 'Epic Games']","['Indie', 'Adventure', 'RPG']",2019-08-12,4.11,4,8,,"{'yet': 39, 'owned': 47, 'beaten': 7, 'dropped': 2}",8
298,Just Dance 2020,0,4,"['PC', 'PlayStation', 'Xbox', 'Nintendo']",3,"['PlayStation Store', 'Xbox Store', 'Nintendo Store']",['Sports'],2019-11-05,3.61,4,18,,"{'yet': 5, 'owned': 69, 'beaten': 5, 'toplay': 6, 'dropped': 3, 'playing': 6}",11
300,Tick Tock: A Tale for Two,2,4,"['PC', 'iOS', 'Android', 'Apple Macintosh']",3,"['Steam', 'App Store', 'Google Play']","['Casual', 'Indie', 'Adventure', 'Puzzle']",2019-03-08,3.81,4,16,,"{'yet': 8, 'owned': 54, 'beaten': 13, 'toplay': 13, 'dropped': 4, 'playing': 2}",3
301,Destiny 2: Shadowkeep,0,3,"['PC', 'PlayStation', 'Xbox']",2,"['Steam', 'Xbox Store']",['Action'],2019-10-01,3.57,4,28,75.0,"{'yet': 9, 'owned': 15, 'beaten': 11, 'toplay': 35, 'dropped': 10, 'playing': 13}",10
